Δx [nm],Δy [nm],φ [deg],R [nm],Δz [nm]
726.82904127,-160.14877180,12.42594287,744.26345089,0.41792749
726.82904127,677.55249609,-42.99044619,993.65881478,-2.70528412
751.46731385,-1244.23276556,58.86968644,1453.55367932,-4.12699689
726.82904127,-369.57408878,26.95217893,815.39282700,-20.04500043
726.82904127,837.70126790,-49.05355423,1109.06441177,2.46045235
739.14817756,517.40372429,-34.99202020,902.24533376,-4.74489204
739.14817756,-1268.87103814,59.77816173,1468.45964869,-12.66873167
739.14817756,-12.31913629,0.95484125,739.25082990,-10.70552909
751.46731385,-776.10558644,45.92404535,1080.29764652,11.89389035
739.14817756,344.93581619,-25.01689348,815.67195960,-14.19432982
714.50990497,-344.93581619,25.76932762,793.41358798,-15.11615667
714.50990497,344.93581619,-25.76932762,793.41358798,-5.60012029
714.50990497,184.78704439,-14.50016677,738.01805945,25.00551542
739.14817756,-862.33954048,49.39870535,1135.76824725,-3.91244323
751.46731385,-184.78704439,13.81502534,773.85358793,-3.78366876
0.00000000,406.53149766,-90.00000000,406.53149766,-10.64069805
24.63827259,517.40372429,-87.27368901,517.99001765,-1.59204922
12.31913629,455.80804283,-88.45184230,455.97448725,0.95651776
0.00000000,554.36113317,-90.00000000,554.36113317,15.83093658
12.31913629,517.40372429,-88.63607247,517.55035990,-0.50140939
12.31913629,480.44631541,-88.53119929,480.60422711,29.37737211
0.00000000,468.12717912,-90.00000000,468.12717912,-5.95090091
12.31913629,480.44631541,-88.53119929,480.60422711,-1.48931513
12.31913629,591.31854205,-88.80651058,591.44685246,21.92273035
36.95740888,480.44631541,-85.60129465,481.86565769,5.23638883
0.00000000,554.36113317,-90.00000000,554.36113317,-1.39425507
12.31913629,542.04199688,-88.69804733,542.18196899,-2.38867181
0.00000000,431.16977024,-90.00000000,431.16977024,16.13476630
12.31913629,455.80804283,-88.45184230,455.97448725,-3.34783011
0.00000000,480.44631541,-90.00000000,480.44631541,10.06107804
